Oggetto	Risorsa Stringa	Pannello	Descrizione	it-IT	en-US	de-DE	fr-FR	es-ES	sk-SK
GlobalVar	ButtonText_CuttingsParameters	Variabili Globali		PARAMETRI DI TAGLIO	CUTTING PARAMETERS	SCHNEIDPARAMETER	PARAMETRES DE COUPE	PARÁMETROS DE CORTE	PARAMETRE REZANIA
GlobalVar	ButtonText_Ends	Variabili Globali		TERMINA	ENDS	ENDEN	EXTREMITES	FINALIZAR	KONIEC
GlobalVar	ButtonText_Run	Variabili Globali		ESEGUI	RUN	LAUF	EXECUTER	EJECUTAR	Spusti
GlobalVar	ButtonText_Pause	Variabili Globali		PAUSA	PAUSE	BRECHEN	PAUSE	PAUSA	Pauza
GlobalVar	ButtonText_Save	Variabili Globali		SALVA	SAVE	SPAREN	SAUVER	GUARDAR	Ulož
GlobalVar	ButtonText_ShutDownMachine	Variabili Globali		SPEGNI LA MACCHINA	TURN OFF THE MACHINE	MASCHINE AUSSCHALTEN	ETEINDRE LA MACHINE	APAGAR	VYPNUTIE STROJA
GlobalVar	ButtonText_UserSetup	Variabili Globali		SETUP	SETUP	SETUP	CONFIGURATION	CONFIGURAR	Nastavenie
GlobalVar	ButtonText_User	Variabili Globali		Operatore	User	Benutzer	Utilisateur	Operador	Operátor
GlobalVar	ButtonText_Department	Variabili Globali		Reparto	Departement	Abteilung	Departement	Departamento	Oddelenie
GlobalVar	GlobalVar_CheckBoxText_PatternOptionExpand	Variabili Globali		ESPANDE	EXPAND	ERWEITERT	EXPLEND	AMPLIAR	Roztiahni
GlobalVar	GlobalVar_CheckBoxText_PatternOptionCompress	Variabili Globali		COMPRIME	COMPRESS	KOMPRIMIERT	COMPRIME	COMPRIME	Stlač
GlobalVar	ButtonText_ProductName	Variabili Globali		Nome	Name	Name	Nom	Nombre	Názov
GlobalVar	ButtonText_ProductDescription	Variabili Globali		Descrizione	Description	Beshreibung	Description	Descripción	Popis
GlobalVar	GlobalVar_Message_EndCycleInAdvance	Variabili Globali		Richiesta di arresto anticipato: attendere qualche istante.	Early stop request: Wait a few moments.	Bitte um vorzeitiges Stoppen: Warten Sie einen Moment.	Demande d'arre't anticipe': attendez quelques instants.	Solicitud de apagado anticipado: espere unos instantes.	Žiadosť o predčasné vypnutie: čakajte chvíľu
GlobalVar	GlobalVar_Message_InitInProgress	Variabili Globali		Inizializzazione in corso: attendere qualche istante	Initializing: wait a few moments	Initialisierung: Warten Sie einen Moment	Initialisation: attendez quelques instants	Inicialización en curso: espere unos instantes	Prebieha inicializácia: čakajte chvíľu
GlobalVar	GlobalVar_Message_PointWriting	Variabili Globali		Scrittura del punto	Writing the point	Den Punkt aufschreiben	E'crire le point	Punto de escritura	Bod zápisu
GlobalVar	GlobalVar_Message_StepsForEncoderPulse	Variabili Globali		passi per ogni impulso encoder carro	steps for each wagon encoder pulse	Schritte für jeden Wagen-Encoder-Impuls	etapes pour chaque impulsion d'encodeur de wagon	pasos para cada impulso del codificador del carro	kroky pre každý impulz enkódera
GlobalVar	GlobalVar_Message_Statistic_Error	Variabili Globali		Attenzione: nessun record trovato con i criteri scelti!	Warning: no records found with the chosen criteria!	Achtung: Es wurden keine Datensätze mit den gewählten Kriterien gefunden!	Attention : aucun enregistrement trouvé avec les criteres choisis!	Atención: ¡no se ha encontrado ningún registro con los criterios elegidos!	Pozor: Nenašiel sa žiadny záznam so zvolenými kritériami!
GlobalVar	GlobalVar_Message_Statistic_MachineHoursOperation	Variabili Globali		Ore totali macchina: Accensione / Lavoro	Total machine hours: Startup / Work	Gesamtstunden der Maschine: Inbetriebnahme / Arbeit	Heures totales machine: Demarrage / Travail	Total horas máquina: Encendido / Trabajo	Celkový počet hodín stroja: Zapnutie / práca
GlobalVar	PanelText_MachineStopping	Variabili Globali		Macchina in arresto, attendere...	Machine stopped, wait...	Maschinen stehen still, bitte warten...	Machines arretees, veuillez patienter…	Máquina parada, por favor espere...	Stroj sa zastavil, počkajte, prosím...
GlobalVar	PanelText_MachineRestart	Variabili Globali		Macchina in riavvio, attendere...	Machine restarting, please wait...	Maschine wird neu gestartet, bitte warten...	Redemarrage de la machine, veuillez patienter...	Máquina reiniciando, por favor espere...	Opätovné spustenie stroja, počkajte, prosím...
GlobalVar	PanelText_AppRestart	Variabili Globali		Applicazione in riavvio, attendere...	Application restarting, please wait...	Anwendung wird neu gestartet, bitte warten...	Redemarrage de l'application, veuillez patienter...	Aplicación reiniciando, por favor espere...	Reštartovanie aplikácie, počkajte, prosím...
GlobalVar	GlobalVar_CHAIN	Variabili Globali		CATENA	CHAIN	KETTE	CHAINE	CADENA	Reťaz
GlobalVar	GlobalVar_PLATE	Variabili Globali		PIATTO	PLATE	PLATTE	PLAQUE	PLACA	Doska
GridView	Album_SetCutting_IconList_Type_Dimension	Nuovo Programma		Scelta per Dimensione	Choice by Size	Auswahl nach Größe	Choix par Taille	Ordenar por tamaño	Zoradiť podľa veľkosti
GridView	Album_SetCutting_IconList_Type_Form	Nuovo Programma		Scelta per Forma	Choice by Shape	Auswahl nach Form	Choix par Forme	Ordenar por forma	Zoradiť podľa tvaru
GridView	Album_SetCutting_IconList_Type_Arrangment	Nuovo Programma		Scelta per Disposizione	Choice by Arrangment	Wahl nach Vereinbarung	Choix par Arrangement	Elegir por Arreglo	Výber podľa usporiadania
ListView	Album_PatterForCutting_IconList_Arrangment	Pattern		  Lista Disposizione assegnabili al Pattern	Layout list assignable to the Pattern	Layoutliste, die dem Pattern zugewiesen werden kann	Liste de mise en page assignable au motif	  Lista de disposiciones asignables al modelo	  Zoznam usporiadaní priraditeľných k vzoru
ListView	Album_PatterForCutting_IconList_Dimension	Pattern		  Lista Dimensioni assegnabili al Pattern	List of dimensions assignable to the Pattern	Liste der Dimensionen, die dem Muster zugewiesen werden können	Liste des dimensions assignables au motif	  Lista de tallas asignables al modelo	  Zoznam veľkostí priraditeľných k vzoru
ListView	Album_PatterForCutting_IconList_Form	Pattern		  Lista Forme assegnabili al Pattern	List of Forms that can be assigned to the Pattern	Liste der Formulare, die dem Muster zugewiesen werden können	Liste des formulaires pouvant être affectés au motif	  Lista de formas asignables al modelo	  Zoznam tvarov priraditeľných k vzoru
TextBlock	Lbl_ChangDefault_Saving	Default		ATTENDERE QUALCHE ISTANTE: SALVATAGGIO DEI PARAMETRI DI DEFAULT IN CORSO	WAIT SOME INSTANT: SAVING DEFAULT PARAMETERS IN PROGRESS	WARTEN SIE EINEN SOFORT: SPEICHERN DER STANDARDPARAMETER IM LAUFEN	ATTENDRE QUELQUE INSTANT: SAUVEGARDE DES PARAMÈTRES PAR DÉFAUT EN COURS	ESPERE UNOS INSTANTES: GUARDADO DE PARÁMETROS POR DEFECTO EN CURSO	POČKAJTE CHVÍĽU: PREBIEHA UKLADANIE PREDVOLENÝCH PARAMETROV
TextBlock	lbl_ChangeDefault_Range_ArrangementSlices_Title	Default		DISPOSIZIONE FETTE	SLICING ARRANGEMENT	SLICING-ANORDNUNG	AGENCEMENT DE TRANCHES	DISPOSICIÓN DE LAS RODAJAS	USPORIADANIE PLÁTKOV
TextBlock	lbl_ChangeDefault_Range_BladeRPM_Title	Default		GIRI LAMA	BLADE TURNS	KLINGE DREHT	TOURS DE LAME	GIROS DE LA CUCHILLA	OTÁČKY KOTÚČA
TextBlock	lbl_ChangeDefault_Range_CarriageSpan_Title	Default		CORSA CARRO	CARRIAGE SPACE	WAGENPLATZ	ESPACE DE TRANSPORT	RECORRIDO DEL CARRO	Miesto stola
TextBlock	lbl_ChangeDefault_Range_CarriageSpeed_Title	Default		VELOCITA' CARRO	CARRIAGE SPEED	WAGENGESCHWINDIGKEIT	WAGON SPEED	VELOCIDAD DEL CARRO	Rýchlosť stola
TextBlock	lbl_ChangeDefault_Range_ProductSize_Title	Default		X, Y COFFICIENTE	X, Y COEFFICIENT	X, Y FACTOR	X, Y FACTEUR	COEFICIENTE X, Y	RÝCHLOSŤ DOPRAVNÍKA
TextBlock	lbl_ChangeDefault_Range_Slices_Title	Default		NUMERO FETTE	NUMBER OF SLICES	ANZAHL SCHEIBEN	NOMBRE DE TRANCHES	NÚMERO DE HOJA	POČET PLÁTKOV
TextBlock	lbl_ChangeDefault_Range_ThicknessSlices_Title	Default		SPESSORE FETTE	THICKNESS OF SLICES	SCHEIBENDICKE	EPAISSEUR DE TRANCHES	ESPESOR CHAPA	HRÚBKA PLÁTKOV
TextBlock	lbl_ChangeDefault_RAnge_Titles_Increment	Default		INCREMENTO	INCREASE	ERHÖHEN,	AUGMENTATION	INCREMENTO	ZVÝŠ
TextBlock	lbl_ChangeDefault_Range_Titles_Max	Default		MASSIMO	MAXIMUM	MAXIMUM	MAXIMUM	MÁXIMO	MAXIMUM
TextBlock	lbl_ChangeDefault_Range_Titles_Min	Default		MINIMO	MINIMUM	MINIMUM	MINIMUM	MÍNIMO	MINIMUM
TextBlock	lbl_ChangeDefault_Range_Titles_Preference	Default		PREFERENZA	PREFERENCE	BEVORZUGEN	PREFERENCE	PREFERENCIA	PREFERENCIA
TextBlock	lbl_ChangeDefault_Range_Titles_Tag_Enable	Default		ABILITA	ENABLE	ENABLE	PERMETTRE	HABILIDAD	POVOLIŤ
TextBlock	lbl_ChangeDefault_Range_Titles_Tag_Label	Default		ETICHETTA	LABEL	ETIKETTIEREN	ETIQUETTE	ETIQUETA	ŠTÍTOK
TextBlock	lbl_ChangeDefault_Range_Titles_Tag_Ok	Default		OK	OK	OK	OK	OK	OK
TextBlock	lbl_ChangeDefault_Range_Titles_Tag_Tag	Default		TAG	TAG	TAG	TAG	ETIQUETA	TAG
TextBlock	lbl_ChangeDefault_Title	Default		EDITORE DI   PARAMETRI  /  INTERVALLI   PREDEFINITI	EDITOR OF PARAMETERS / DEFAULT INTERVALS	HERAUSGEBER VON PARAMETERN / STANDARDINTERVALLEN	EDITEUR DES PARAMETRES / INTERVALLES PAR DEFAUT	EDITOR DE PARÁMETROS / RANGOS PREDEFINIDOS	EDITOR PARAMETROV / PREDDEFINOVANÉ ROZSAHY
TextBlock	Lbl_Connections_Interface_Coonection_Result	Connection Interface		IMPOSSIBILE INDIVIDUARE RETI	UNABLE TO IDENTIFY NETWORKS	NETZWERKE KÖNNEN NICHT IDENTIFIZIERT WERDEN	IMPOSSIBLE D'IDENTIFIER LES RÉSEAUX	NO SE PUEDE LOCALIZAR LA RED	NIE JE MOŽNÉ VYHĽADAŤ SIEŤ
TextBlock	Lbl_Connections_Interface_Coonection_Title	Connection Interface		RICERCA RETE IN CORSO	NETWORK SEARCH IN PROGRESS	NETZWERKSUCHE IN BEARBEITUNG	RECHERCHE EN RESEAU EN COURS	BÚSQUEDA DE REDES EN CURSO	PREBIEHA VYHĽADÁVANIE SIETE
TextBlock	Lbl_Connections_Interface_Coonection_Try_Title	Connection Interface		TENTATIVO #	ATTEMPT #	VERSUCH #	TENTATIVE #	TENTATIVO	PREDBEŽNÉ #
TextBlock	lbl_Connections_Interface_Title	Connection Interface		INTERFACCE DI CONNESSIONE ALLA RETE	NETWORK CONNECTION INTERFACES	NETZWERKANSCHLUSS-SCHNITTSTELLEN	INTERFACES DE CONNEXION RESEAU	INTERFACES DE CONEXIÓN DE RED	ROZHRANIA SIEŤOVÉHO PRIPOJENIA
TextBlock	lbl_Exist_Monitor_Title	Exist Monitor		PROGRAMMA SELEZIONATO IN ESECUZIONE	PROGRAM SELECTED IN EXECUTION	PROGRAMM IN AUSFÜHRUNG AUSGEWÄHLT	PROGRAMME SELECTIONNE EN EXECUTION	PROGRAMA SELECCIONADO EN EJECUCIÓN	VYBRANÝ SPUSTENÝ PROGRAM
TextBlock	Lbl_General_Diagnostic_GenericStates_BladeActivity_Title	Diagnostica Generale		Lama	Blade	Hobelmesser	Lame	Cuchilla	Kotúč
TextBlock	Lbl_General_Diagnostic_GenericStates_CarriageActivity_Title	Diagnostica Generale		Carro	Carriage	Schneidewagen	CART	Carro	Stôl
TextBlock	Lbl_General_Diagnostic_GenericStates_ChainActivity_Title	Diagnostica Generale		Catena	Chain	Kette	ChaIne	Cadena	Reťaz
TextBlock	Lbl_General_Diagnostic_GenericStates_Title	Diagnostica Generale		STATI GENERICI	GENERIC STATES	ALLGEMEINE STAATEN	ETATS GENERIQUES	ESTADO GENERAL	VŠEOBECNÝ STAV
TextBlock	Lbl_General_Diagnostic_Microswitch_AutoMan_Title	Diagnostica Generale		Automatico / Manuale :	Automatic / Manual :	Automatisch / Manuell :	Automatique / Manuel: :	Automático / Manual :	Automatické / manuálne :
TextBlock	Lbl_General_Diagnostic_Microswitch_Carriage_Title	Diagnostica Generale		Carro in Home :	Carrage in Home :	Warenkorb in Hom :	Panier dans Hom :	Carro en Casa :	Stôl v domovskej pozícii :
TextBlock	Lbl_General_Diagnostic_Microswitch_PlateHome_Title	Diagnostica Generale		Piatto in Home :	Plate in Home :	Gericht zu Hause :	Plat dans Hom :	Placa en casa :	Doska v domovskej pozícii :
TextBlock	Lbl_General_Diagnostic_Microswitch_PlateOpen_Title	Diagnostica Generale		Piatto tutto Aperto :	Plate All Open :	Offene Platte :	Plaque ouverte :	Plato todo abierto :	Všetky dosky otvorené :
